Samples,Extraction,Site,Colour,Negative,Positive,PCR,Kit,Reads,Threshold20,Threshold50,Threshold100,Threshold500,Percentage_trimmed,Bacterial_reads,Percentage_bacterial,Percentage_host_rem,Bacterial_threshold50K,Qubit
Negcontrole_librrun,1JAN,Belgium,FALSE,TRUE,FALSE,FALSE,0,12140,FALSE,FALSE,FALSE,FALSE,1.84,8842,71.52,28.48,FALSE,0
Negative_1305,13MAY,Belgium,FALSE,TRUE,FALSE,FALSE,2,6845,FALSE,FALSE,FALSE,FALSE,2.19,1578,89,11,FALSE,0
NegativeSab_0905,13MAY,Belgium,FALSE,TRUE,FALSE,FALSE,3,14080,FALSE,FALSE,FALSE,FALSE,1.68,980,87.5,12.5,FALSE,0
PEDI01152_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,26239579,TRUE,TRUE,TRUE,TRUE,1.58,26189298,98.25,1.75,TRUE,0
PEDI01153_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,3,98473,TRUE,TRUE,FALSE,FALSE,1.57,87501,87.48,12.52,TRUE,0
PEDI01154_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,12261192,TRUE,TRUE,TRUE,TRUE,1.55,12155083,97.62,2.38,TRUE,0
PEDI01160_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,1926055,TRUE,TRUE,TRUE,TRUE,1.82,1918484,97.83,2.17,TRUE,0
PEDI01161_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,2448724,TRUE,TRUE,TRUE,TRUE,1.4,588537,23.7,76.3,TRUE,0
PEDI01162_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,21084495,TRUE,TRUE,TRUE,TRUE,1.7,21083318,98.32,1.68,TRUE,0
PEDI01163_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,2,493946,TRUE,TRUE,TRUE,FALSE,1.44,492801,98.35,1.65,TRUE,0
PEDI01164_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,2,11337,FALSE,FALSE,FALSE,FALSE,2.36,9833,84.74,15.26,FALSE,0
PEDI01165_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,2,28529122,TRUE,TRUE,TRUE,TRUE,1.56,28513761,98.41,1.59,TRUE,0
PEDI01167_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,2,30541278,TRUE,TRUE,TRUE,TRUE,2.58,30441570,97.16,2.84,TRUE,0
PEDI01169_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,38259,TRUE,FALSE,FALSE,FALSE,1.38,37432,96.51,3.49,FALSE,0
PEDI01172_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,2,7342,FALSE,FALSE,FALSE,FALSE,1.88,7047,94.21,5.79,FALSE,0
PEDI01174_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,1317774,TRUE,TRUE,TRUE,TRUE,1.29,1020548,76.46,23.54,TRUE,0
PEDI01178_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,503174,TRUE,TRUE,TRUE,TRUE,1.37,501982,98.41,1.59,TRUE,0
PEDI01181_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,25,FALSE,FALSE,FALSE,FALSE,112,24,45.28,54.72,FALSE,0
PEDI01183_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,2,7024,FALSE,FALSE,FALSE,FALSE,1.57,6534,91.59,8.41,FALSE,0
PEDI01184_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,2,10262,FALSE,FALSE,FALSE,FALSE,1.46,10044,96.47,3.53,FALSE,0
PEDI01185_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,1823002,TRUE,TRUE,TRUE,TRUE,1.24,1564658,84.77,15.23,TRUE,0
PEDI01187_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,2,26987,TRUE,FALSE,FALSE,FALSE,1.31,20759,75.93,24.07,FALSE,0
PEDI01189_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,51025452,TRUE,TRUE,TRUE,TRUE,1.34,50557735,97.78,2.22,TRUE,0.057
PEDI01192_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,58348,TRUE,TRUE,FALSE,FALSE,1.53,49847,84.15,15.85,FALSE,0
PEDI01193_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,2704773,TRUE,TRUE,TRUE,TRUE,1.43,2630544,95.89,4.11,TRUE,0
PEDI01195_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,5881405,TRUE,TRUE,TRUE,TRUE,1.19,5722898,96.16,3.84,TRUE,0
PEDI01196_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,2,335374,TRUE,TRUE,TRUE,FALSE,1.35,321857,94.69,5.31,TRUE,0
PEDI01197_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,2,10636,FALSE,FALSE,FALSE,FALSE,1.15,8975,83.43,16.57,FALSE,0
PEDI01198_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,2,102609,TRUE,TRUE,TRUE,FALSE,1.24,101410,97.62,2.38,TRUE,0
PEDI01199_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,2,274173,TRUE,TRUE,TRUE,FALSE,1.09,69564,25.1,74.9,TRUE,0
PEDI01200_Rand,13MAY,Uganda,TRUE,FALSE,FALSE,TRUE,3,48514774,TRUE,TRUE,TRUE,TRUE,1.68,11002728,22.31,77.69,TRUE,25.1
PEDI01201_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,3,132304,TRUE,TRUE,TRUE,FALSE,1.37,39975,29.81,70.19,FALSE,0
PEDI01202_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,1776994,TRUE,TRUE,TRUE,TRUE,1.18,1722555,95.81,4.19,TRUE,0
PEDI01203_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,FALSE,3,225612,TRUE,TRUE,TRUE,FALSE,1.57,28077,12.25,87.75,FALSE,0
PEDI01204_Rand,13MAY,Uganda,FALSE,FALSE,FALSE,TRUE,3,714187,TRUE,TRUE,TRUE,TRUE,1.94,339019,46.57,53.43,TRUE,0
