name,Negative_0705,Negative_0805,Negative_1305,Negative_2504,Negative3_0605,NegativeSab_0905,Negcontrole_librrun,PEDI00208_Rand,PEDI00209_Rand,PEDI00210_Rand,PEDI00211_Rand,PEDI00212_Rand,PEDI00213_Rand,PEDI00214_Rand,PEDI00216_Rand,PEDI00217_Rand,PEDI00218_Rand,PEDI00221_Rand,PEDI00232_Rand,PEDI00237_Rand,PEDI00238_Rand,PEDI00239_Rand,PEDI00240_Rand,PEDI00241_Rand,PEDI00242_Rand,PEDI00243_Rand,PEDI00244_Rand,PEDI00245_Rand,PEDI00246_Rand,PEDI00247_Rand,PEDI00248_Rand,PEDI00249_Rand,PEDI00250_Rand,PEDI00251_Rand,PEDI00252_Rand,PEDI00257_Rand,PEDI00261_Rand,PEDI00264_Rand,PEDI00268_Rand,PEDI00270_Rand,PEDI01152_Rand,PEDI01153_Rand,PEDI01154_Rand,PEDI01160_Rand,PEDI01161_Rand,PEDI01162_Rand,PEDI01163_Rand,PEDI01164_Rand,PEDI01165_Rand,PEDI01167_Rand,PEDI01169_Rand,PEDI01172_Rand,PEDI01174_Rand,PEDI01178_Rand,PEDI01181_Rand,PEDI01183_Rand,PEDI01184_Rand,PEDI01185_Rand,PEDI01187_Rand,PEDI01189_Rand,PEDI01192_Rand,PEDI01193_Rand,PEDI01195_Rand,PEDI01196_Rand,PEDI01197_Rand,PEDI01198_Rand,PEDI01199_Rand,PEDI01200_Rand,PEDI01201_Rand,PEDI01202_Rand,PEDI01203_Rand,PEDI01204_Rand,PEDI01206_Rand,PEDI01207_Rand,PEDI01208_Rand,PEDI01209_Rand,PEDI01210_Rand,PEDI01212_Rand,PEDI01213_Rand,PEDI01214_Rand,PEDI01215_Rand,PEDI01216_Rand,PEDI02946_Rand,PEDI02947_Rand,PEDI02949_Rand,PEDI02951_Rand,PEDI02958_Rand,PEDI02963_Rand,PEDI02964_Rand,PEDI02966_Rand,PEDI02991_Rand,PEDI02994_Rand,PEDI02995_Rand,PEDI02999_Rand,PEDI03000_Rand,Positive_1305
Cloacibacillus,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,26,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,136,0,15,0,13,0,16,20,0,0,0,0,23,1701,0,0,0,0,0,0,0,0,0,128,0,37,11,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Methanosphaera,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,192,0,36,0,0,0,0,0,0,0,0,0,29,23,0,0,0,92,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,62
UMGS905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,10,0,0,0,0,45,0,0,0,0,0,0,281,0,76,0,20,0,56,0,0,0,0,0,63,410,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425
HGM13233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,47,0,72,0,103,0,69,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
UBA5809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0,13,19,0,0,0,23,0,0,71,0,0,0,103,0,26,0,0,0,11,0,123,79,0,0,23,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,15,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,18,0,0
UBA1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0,84,0,15,0,18,0,36,0,0,68,0,0,0,328,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Johnsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,355,0,0,0,0,0,0,0,975,0,0,16,80,190,0,0,0,280,13,0,386,0,392,0,345,0,410,0,24,0,22,0,63,38,0,0,56,10,0,0,0,61,0,17,0,0,0,12,0,0,0,0,0,40,0,0,22,81,0,0,210,0,10,0,0,130,32,21,0,0,25,22,0,0,55,0,20,13,0,116
Rubneribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,10,0,0,301,0,11,0,32,0,23,0,0,16,0,0,29,255,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,41,0,44
Enterobacter_D,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,199,0,0,0,0,0,18,0,4523,0,0,0,29,0,0,0,0,0,469,0,67,0,85,0,360,20,31,415,0,13179,0,0,6602,561,0,0,0,0,0,0,0,0,0,530,0,146,0,25,0,0,0,1175,0,17,0,0,17,0,0,0,12,0,0,0,0,601,26,0,0,0,20,0,0,0,0,0,19,1309,0,0
Adlercreutzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,91,0,0,0,24,0,22,0,0,106,0,0,18,119,0,0,0,0,0,0,0,0,0,16,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,386
