name,Negative_0705,Negative_0805,Negative_1305,Negative_2504,Negative3_0605,NegativeSab_0905,Negcontrole_librrun,PEDI00208_Rand,PEDI00209_Rand,PEDI00210_Rand,PEDI00211_Rand,PEDI00212_Rand,PEDI00213_Rand,PEDI00214_Rand,PEDI00216_Rand,PEDI00217_Rand,PEDI00218_Rand,PEDI00221_Rand,PEDI00232_Rand,PEDI00237_Rand,PEDI00238_Rand,PEDI00239_Rand,PEDI00240_Rand,PEDI00241_Rand,PEDI00242_Rand,PEDI00243_Rand,PEDI00244_Rand,PEDI00245_Rand,PEDI00246_Rand,PEDI00247_Rand,PEDI00248_Rand,PEDI00249_Rand,PEDI00250_Rand,PEDI00251_Rand,PEDI00252_Rand,PEDI00257_Rand,PEDI00261_Rand,PEDI00264_Rand,PEDI00268_Rand,PEDI00270_Rand,PEDI01152_Rand,PEDI01153_Rand,PEDI01154_Rand,PEDI01160_Rand,PEDI01161_Rand,PEDI01162_Rand,PEDI01163_Rand,PEDI01164_Rand,PEDI01165_Rand,PEDI01167_Rand,PEDI01169_Rand,PEDI01172_Rand,PEDI01174_Rand,PEDI01178_Rand,PEDI01181_Rand,PEDI01183_Rand,PEDI01184_Rand,PEDI01185_Rand,PEDI01187_Rand,PEDI01189_Rand,PEDI01192_Rand,PEDI01193_Rand,PEDI01195_Rand,PEDI01196_Rand,PEDI01197_Rand,PEDI01198_Rand,PEDI01199_Rand,PEDI01200_Rand,PEDI01201_Rand,PEDI01202_Rand,PEDI01203_Rand,PEDI01204_Rand,PEDI01206_Rand,PEDI01207_Rand,PEDI01208_Rand,PEDI01209_Rand,PEDI01210_Rand,PEDI01212_Rand,PEDI01213_Rand,PEDI01214_Rand,PEDI01215_Rand,PEDI01216_Rand,PEDI02946_Rand,PEDI02947_Rand,PEDI02949_Rand,PEDI02951_Rand,PEDI02958_Rand,PEDI02963_Rand,PEDI02964_Rand,PEDI02966_Rand,PEDI02991_Rand,PEDI02994_Rand,PEDI02995_Rand,PEDI02999_Rand,PEDI03000_Rand,Positive_1305,Sum
Firmicutes,17,22,13,0,16,57,44,1757,2036,251,12326,312937,220,707,2348,1919,1217489,341,10,141,570,665,117,1098,127712449,1945,238,1068,88689,173089,253,371,161,255698,24395,924,27319347,360,357862,6122,1254684,1873,230346,256364,14649,628778,7062,471,554927,32470,281,124,21460,9970,0,60,62,28701,429,38648253,748,169674,5085459,10305,73,1091,2246,656172,1971,27095,4711,6318,2371,4803,179,24770,6410,162,5417,2019,7436,427611,5295,768,3542,731,10977,6000,92,110,3275,2662,6160,253953,89,281813,206211544
Bacteroidota,0,63,13,0,0,50,25,111,17437,3733,953,22403,1059,8626,21,2460,15677398,5022,265,49,10294,2788,16,21057,61743,12272,882,26290,37637,453849,3007,253,22,982868,74052,8142,21484326,7013,10305772,60743,12648031,19158,6262759,13257,77056,9928321,174725,90,15694925,71125,546,289,398302,58239,0,166,4073,592480,4860,4274100,6511,137685,37314,22381,685,7818,16589,5669360,14119,789844,74,31638,12603,73047,527,12544,238396,3448,143026,7340,64701,4333514,34193,25976,13975,363,92294,66814,87,27,79985,349,45438,257299,1213,6543338,118299731
Firmicutes_A,0,97,30,0,0,91,42,729,201,5033,812,21343,887,6577,20524,11897,12004378,3477,202,176,554,13204,31,23505,1004962,8053,1095,46923,158036,1151793,1737,1148,37,2559992,66548,8008,29190547,21542,4368631,27958,4511055,18436,2600237,24125,103201,151072,171908,44,2876341,112717,21289,99,325131,218095,0,1164,2492,463805,2593,680743,5958,9840,29109,74305,2807,64252,26915,69297,895,445064,162,13557,43430,106895,765,7986,711536,1182,64423,10524,27144,2516228,103616,50277,11749,713,161253,179611,256,227,118374,6223,137313,122224,886,9613814,77754157
Proteobacteria,461,4648,1939,194,805,4098,298,2402,2645,6590,12809,597215,2143,5320,9052,5469,526569,2520,183,406,17469,7264,18429,6821,25886016,9569,6041,9712,105271,62161,2982,59259,1073,51511,214406,1777,508426,2116,343149,8504,1229877,10112,136327,1244099,86004,3215520,5428,1834,3780797,11661061,3497,1431,31153,29662,0,781,495,42209,2766,2277179,8565,769816,55471,28453,829,3943,1635,2359025,9390,22079,6524,54613,14661,10059,1824,4700,13665,1711,11353,2450,16776,1103041,15484,7616,11665,12627,14080,10714,3068,2587,8362,2415,4893,327824,1140,165439,57356451
Actinobacteriota,42,74,54,54,16,551,3008,210,2115,484,10973,271160,199,1101,20032,1012,380646,1438,78,535,283,894,140,15161,703189,6411,843,8037,121730,36463,625,1363,105,16152,194518,3114,1071612,5488,1471672,37115,349922,2232,146945,38539,19979,3361636,18512,2740,195594,147428,374,2517,21907,6799,0,1053,292,95178,1222,159485,4683,830120,126998,126122,1183,1409,965,12166,511,59845,84,137171,14680,15539,325,917,13885,531,15613,4628,19000,2163706,5573,1882,1535,8175,12714,27808,141,227,1932,3517,7318,600968,375,268847,13452144
Thermoplasmatota,0,65,17,0,0,77,110,148,580,341,5048,18307,227,930,359,2155,1072307,760,80,70,467,2604,111,2501,208855,1929,162,14160,9774,330802,638,828,33,742659,16853,1106,1209154,2745,290421,4372,1260009,10617,674103,9445,66616,188468,35168,86,509620,138350,1307,49,48562,48514,0,287,455,70750,566,250793,1694,123229,16185,12448,515,3143,5736,146534,552,93576,67,4174,3292,23794,126,1006,65477,158,10179,2424,4562,317066,9942,5284,1939,230,20257,40492,60,63,69171,751,18292,92799,449,537384,8888570
Firmicutes_C,0,0,0,0,0,0,0,143,111,875,781,1666,147,71,8477,1322,528978,252,19,10,176,31,40,3014,95227,1796,62,1379,30222,66436,843,60,0,149913,151838,399,93518,854,224711,2531,1067961,763,176402,16323,5171,116705,10463,85,893062,10354,639,578,28429,3203,0,15,178,38007,1453,150019,2443,11590,4430,2214,469,1790,818,65142,221,50808,0,10870,1887,3787,100,2544,18900,101,10519,732,147657,358904,2827,1578,2511,82,3364,2001,10,46,2683,17,2410,280357,42,139577,5019143
Campylobacterota,0,0,0,0,0,0,0,0,0,36,0,61,66,0,0,0,438,64,0,0,0,0,0,257,1416,245,27,3602,2398,396,0,19,0,459,20,1263,659,978,581415,1723,101879,582,49915,17,57,170,44,0,20497,1642,48,0,83,16643,0,0,0,226,211,278,770,0,71,789,0,83,34,0,0,226,0,108,58,195,25,44,144,0,14,265,0,120,75,140,841,0,12007,12873,0,0,6564,18,854,151,24,335,824662
Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,65038,0,0,0,24,0,0,0,237,0,0,0,22,753,0,0,0,493,18,0,95902,0,12070,14,4189,13,11118,21,11,2359,0,0,8805,194,0,0,42,373,0,0,0,58,0,950,0,18,22,0,0,40,0,6016,29,61,0,0,17,40,0,0,134,0,20,29,0,1724,15,0,0,0,23,18,0,0,72,0,30,241,0,22189,233498
Desulfobacterota,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,76378,0,0,0,11,0,0,0,393,0,0,11,15,53,0,27,0,1237,0,27,1649,0,327,0,163,0,18908,118,116,229,55,0,52293,8522,0,0,2486,701,0,0,0,35,0,532,0,48,22,10,0,62,0,66,0,22,0,63,0,48,0,0,487,0,0,14,98,167,79,0,133,15,0,112,0,0,16,0,103,83,0,33663,199703
Other,0,0,0,0,0,0,0,28,0,159,10,23975,15,152,0,314,16104,24,0,0,324,0,0,241,11744,204,0,417,1809,3663,10,99,0,2894,707,124,15496,350,8087,293,15978,249,8582,1427,3020,13006,2326,0,110385,19580,96,0,1562,5817,0,29,0,1434,87,38700,299,1071,1067,519,0,1088,242,15921,17,3573,47,484,400,468,110,161,3364,11,525,257,2623,9749,289,410,153,52,1419,1089,0,0,1076,49,1371,1111,0,25107,383643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verrucomicrobiota,0,0,0,0,0,0,0,0,0,128,0,175,0,137,0,294,1260,24,0,0,305,0,0,0,411,0,0,27,24,1104,0,51,0,104,44,0,1906,0,188,0,1656,16,616,102,62,2147,30,0,82290,12611,0,0,709,4933,0,0,0,42,0,33580,10,131,502,26,0,0,60,782,0,62,0,97,0,19,69,0,1768,0,30,18,21,553,18,0,61,17,244,22,0,0,19,0,620,150,0,14709,164984
Fusobacteriota,0,0,0,0,0,0,0,28,0,31,10,15777,0,15,0,10,3581,0,0,0,19,0,0,193,1282,65,0,111,595,1480,10,26,0,2004,400,124,9307,81,3372,281,5247,45,2449,960,430,3409,147,0,8685,806,13,0,640,184,0,0,0,443,77,2557,103,679,257,88,0,1088,101,8771,17,472,32,241,280,261,41,104,1263,11,302,15,2568,7414,229,98,79,21,192,228,0,0,386,0,261,388,0,5529,96413
Firmicutes_B,0,0,0,0,0,0,0,0,0,0,0,804,15,0,0,10,9084,0,0,0,0,0,0,48,605,139,0,279,1190,323,0,0,0,386,61,0,1125,269,2082,0,7406,188,4100,284,2345,500,2137,0,15728,1165,83,0,134,542,0,0,0,829,10,308,186,139,16,405,0,0,62,2175,0,2957,0,15,22,131,0,0,255,0,62,37,34,712,29,312,13,0,962,588,0,0,631,49,457,231,0,3203,65862
Methanobacteriota,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,366,0,0,0,0,0,0,0,48,0,0,0,0,511,0,0,0,91,24,0,1793,0,130,12,476,0,460,29,0,6351,0,0,2879,91,0,0,22,108,0,29,0,15,0,286,0,26,0,0,0,0,0,808,0,13,0,0,0,0,0,0,0,0,17,0,0,55,13,0,0,0,0,0,0,0,0,0,21,51,0,498,15252
Patescibacteria,0,0,0,0,0,0,0,0,0,0,0,6898,0,0,0,0,68,0,0,0,0,0,0,0,153,0,0,0,0,64,0,11,0,67,144,0,229,0,138,0,292,0,57,0,169,0,0,0,76,62,0,0,21,14,0,0,0,36,0,985,0,33,271,0,0,0,19,3050,0,0,15,31,98,45,0,57,35,0,96,0,0,412,0,0,0,14,21,16,0,0,0,0,0,44,0,227,13968
