name,Negative3_0605,NegativeSab_0905,Negative_0705,Negative_0805,Negative_1305,Negative_2504,Negcontrole_librrun,PEDI00208_Rand,PEDI00209_Rand,PEDI00210_Rand,PEDI00211_Rand,PEDI00212_Rand,PEDI00213_Rand,PEDI00214_Rand,PEDI00216_Rand,PEDI00217_Rand,PEDI00218_Rand,PEDI00221_Rand,PEDI00232_Rand,PEDI00237_Rand,PEDI00238_Rand,PEDI00239_Rand,PEDI00240_Rand,PEDI00241_Rand,PEDI00242_Rand,PEDI00243_Rand,PEDI00244_Rand,PEDI00245_Rand,PEDI00246_Rand,PEDI00247_Rand,PEDI00248_Rand,PEDI00249_Rand,PEDI00250_Rand,PEDI00251_Rand,PEDI00252_Rand,PEDI00257_Rand,PEDI00261_Rand,PEDI00264_Rand,PEDI00268_Rand,PEDI00270_Rand,PEDI01152_Rand,PEDI01153_Rand,PEDI01154_Rand,PEDI01160_Rand,PEDI01161_Rand,PEDI01162_Rand,PEDI01163_Rand,PEDI01164_Rand,PEDI01165_Rand,PEDI01167_Rand,PEDI01169_Rand,PEDI01172_Rand,PEDI01174_Rand,PEDI01178_Rand,PEDI01181_Rand,PEDI01183_Rand,PEDI01184_Rand,PEDI01185_Rand,PEDI01187_Rand,PEDI01189_Rand,PEDI01192_Rand,PEDI01193_Rand,PEDI01195_Rand,PEDI01196_Rand,PEDI01197_Rand,PEDI01198_Rand,PEDI01199_Rand,PEDI01200_Rand,PEDI01201_Rand,PEDI01202_Rand,PEDI01203_Rand,PEDI01204_Rand,PEDI01206_Rand,PEDI01207_Rand,PEDI01208_Rand,PEDI01209_Rand,PEDI01210_Rand,PEDI01212_Rand,PEDI01213_Rand,PEDI01214_Rand,PEDI01215_Rand,PEDI01216_Rand,PEDI02946_Rand,PEDI02947_Rand,PEDI02949_Rand,PEDI02951_Rand,PEDI02958_Rand,PEDI02963_Rand,PEDI02964_Rand,PEDI02966_Rand,PEDI02991_Rand,PEDI02994_Rand,PEDI02995_Rand,PEDI02999_Rand,PEDI03000_Rand,Positive_1305
Collinsella sp900545055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,35,0,723,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,316
Prevotella sp900557255,0,0,0,0,0,0,0,0,0,257,0,0,0,341,0,0,961165,1065,0,0,0,0,0,43,11,0,0,0,0,90822,0,0,0,67,108,0,887,11,6394927,0,4387705,573,659411,824,0,4941358,419,0,1166690,0,0,100,8709,0,0,0,0,9356,208,474398,0,80158,0,0,0,12,12,112,49,2679,0,2956,409,2848,0,0,23,0,0,701,29853,22,311,0,0,15,4866,90,0,0,182,0,10,40105,100,147
Streptococcus lutetiensis,0,0,0,0,0,0,0,89,0,0,3192,457,0,0,0,165,154,0,0,0,0,0,0,0,3251,61,0,0,26,13875,0,0,0,0,61,0,1544,0,1000,0,5695,0,315,95,0,220661,15,0,290,0,0,0,0,0,0,0,0,6453,0,18016,64,33,24,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,16,208,0,0,0,0,0,0,0,0,0,0,0,101,0,172
Collinsella sp900755685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,33,0,228,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,436
AM51-8 sp900546435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,25,0,0,77,0,190,0,59,0,198,0,0,0,0,0,572,0,0,0,0,10,0,0,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,2583
Collinsella sp900554665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,48,0,429,0,0,396,0,0,428,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,255,0,1793
Mt11 sp001282665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,46,0,0,0,0,70,0,0,0,27,0,0,20,0,0,0,36,0,11,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,0,387,0,0,377,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,21,0,0,12,0,0,15,0,155
Veillonella tobetsuensis,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,57,882,0,0,0,0,0,0,0,0,222,0,0,2178,106,0,0,0,796,14595,0,31,0,7367,0,36946,0,327,0,11,476,0,0,1635,18,0,0,547,0,0,0,0,1435,0,36,45,59,108,0,0,42,0,23,0,0,0,26,0,38,0,0,10,0,114,27,141,20671,0,0,0,0,0,0,0,0,0,0,0,25150,0,90
Collinsella sp900549355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,0,0,0,824,0,0,0,6066,43,88,0,313,0,0,3892,0,0,645,0,0,0,0,0,0,0,0,49,0,197,0,0,104,67,0,0,0,0,0,0,0,49,0,30,0,0,0,0,0,0,31,726,0,0,0,0,0,0,0,0,0,0,0,69,0,472
UMGS1590 sp900552455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,13,0,10,0,0,0,0,0,27,241,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Collinsella sp900541645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,38,0,89,0,0,84,0,0,109,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0
UBA3402 sp003478355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21556,0,0,0,0,0,0,0,0,0,0,0,33,361,0,0,0,145,0,0,58295,0,5574,14,1061,0,1058,0,0,78,27,0,7476,0,0,0,31,84,0,0,0,79,0,268,0,0,30,28,0,103,0,0,0,72,0,0,19,28,0,0,37,0,156,0,69,2745,32,0,0,0,17,0,0,0,21,0,0,81,0,21015
CAG-269 sp900554565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collinsella sp900544875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,150,0,0,0,0,0,135,580,0,0,0,0,0,0,0,30,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,58
Bulleidia sp900539965,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3048,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,53,0,96,0,100,0,76,0,0,0,0,0,303,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Collinsella sp900757265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,122,0,80
